#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_sunspire;Sunspire;Sunspire;Sunspire;;Sunspire;;;;;;;;;x
b_court_of_the_sun;Court of the Sun;Court of the Sun;Court of the Sun;;Court of the Sun;;;;;;;;;x
b_the_bazaar;The Bazaar;The Bazaar;The Bazaar;;The Bazaar;;;;;;;;;x
b_sunfury_spire;Sunfury Spire;Sunfury Spire;Sunfury Spire;;Sunfury Spire;;;;;;;;;x
b_the_royal_exchange;The Royal Exchange;The Royal Exchange;The Royal Exchange;;The Royal Exchange;;;;;;;;;x
b_farstrider_square;Farstrider Square;Farstrider Square;Farstrider Square;;Farstrider Square;;;;;;;;;x
b_falthrien;Falthrien;Falthrien;Falthrien;;Falthrien;;;;;;;;;x
b_silverisle;Silverisle;Silverisle;Silverisle;;Silverisle;;;;;;;;;x
b_sunwell_plateau;Sunwell Plateau;Sunwell Plateau;Sunwell Plateau;;Sunwell Plateau;;;;;;;;;x
b_dawnstar_village;Dawnstar Village;Dawnstar Village;Dawnstar Village;;Dawnstar Village;;;;;;;;;x
b_magisters_terrace;Magister's Terrace;Magister's Terrace;Magister's Terrace;;Magister's Terrace;;;;;;;;;x
b_suns_reach;Sun's Reach;Sun's Reach;Sun's Reach;;Sun's Reach;;;;;;;;;x
b_silvermoon_city;Silvermoon City;Silvermoon City;Silvermoon City;;Silvermoon City;;;;;;;;;x
b_falconwing;Falconwing;Falconwing;Falconwing;;Falconwing;;;;;;;;;x
b_suns_crossing;Sun's Crossing;Sun's Crossing;Sun's Crossing;;Sun's Crossing;;;;;;;;;x
b_duskwither;Duskwither;Duskwither;Duskwither;;Duskwither;;;;;;;;;x
b_arcanus;Arcanus;Arcanus;Arcanus;;Arcanus;;;;;;;;;x
b_shepherds_gate;Shepherd's Gate;Shepherd's Gate;Shepherd's Gate;;Shepherd's Gate;;;;;;;;;x
b_farstrider_retreat;Farstrider Retreat;Farstrider Retreat;Farstrider Retreat;;Farstrider Retreat;;;;;;;;;x
b_porcelanas;Porcelanas;Porcelanas;Porcelanas;;Porcelanas;;;;;;;;;x
b_glintwater;Glintwater;Glintwater;Glintwater;;Glintwater;;;;;;;;;x
b_tranquil_shore;Tranquil Shore;Tranquil Shore;Tranquil Shore;;Tranquil Shore;;;;;;;;;x
b_fairbreeze;Fairbreeze;Fairbreeze;Fairbreeze;;Fairbreeze;;;;;;;;;x
b_sunsail;Sunsail;Sunsail;Sunsail;;Sunsail;;;;;;;;;x
b_luminvale;Luminvale;Luminvale;Luminvale;;Luminvale;;;;;;;;;x
b_cherrygrove;Cherrygrove;Cherrygrove;Cherrygrove;;Cherrygrove;;;;;;;;;x
b_pallaroth;Pallaroth;Pallaroth;Pallaroth;;Pallaroth;;;;;;;;;x
b_goldenmist;Goldenmist;Goldenmist;Goldenmist;;Goldenmist;;;;;;;;;x
b_falithas;Falithas;Falithas;Falithas;;Falithas;;;;;;;;;x
b_shalandis;Shalandis;Shalandis;Shalandis;;Shalandis;;;;;;;;;x
b_shandor;Shan'dor;Shan'dor;Shan'dor;;Shan'dor;;;;;;;;;x
b_elrendar_falls;Elrendar Falls;Elrendar Falls;Elrendar Falls;;Elrendar Falls;;;;;;;;;x
b_elrendar_crossing;Elrendar Crossing;Elrendar Crossing;Elrendar Crossing;;Elrendar Crossing;;;;;;;;;x
b_andaroth;An'daroth;An'daroth;An'daroth;;An'daroth;;;;;;;;;x
b_tranquillien;Tranquillien;Tranquillien;Tranquillien;;Tranquillien;;;;;;;;;x
b_suncrown;Suncrown;Suncrown;Suncrown;;Suncrown;;;;;;;;;x
b_greenwood;Greenwood;Greenwood;Greenwood;;Greenwood;;;;;;;;;x
b_thalassian_pass;Thalassian Pass;Thalassian Pass;Thalassian Pass;;Thalassian Pass;;;;;;;;;x
b_windspire;Windspire;Windspire;Windspire;;Windspire;;;;;;;;;x
b_windrunner;Windrunner;Windrunner;Windrunner;;Windrunner;;;;;;;;;x
b_underlight;Underlight;Underlight;Underlight;;Underlight;;;;;;;;;x
b_moonwood;Moonwood;Moonwood;Moonwood;;Moonwood;;;;;;;;;x
b_drathir_valley;Drathir Valley;Drathir Valley;Drathir Valley;;Drathir Valley;;;;;;;;;x
b_zebsora;Zeb'Sora;Zeb'Sora;Zeb'Sora;;Zeb'Sora;;;;;;;;;x
b_zebwatha;Zeb'Watha;Zeb'Watha;Zeb'Watha;;Zeb'Watha;;;;;;;;;x
b_torwatha;Tor'Watha;Tor'Watha;Tor'Watha;;Tor'Watha;;;;;;;;;x
b_icemorn_peak;Icemorn Peak;Icemorn Peak;Icemorn Peak;;Icemorn Peak;;;;;;;;;x
b_uta_tek;Uta-Tek;Uta-Tek;Uta-Tek;;Uta-Tek;;;;;;;;;x
