#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_sunspire;Sunspire;Sunspire;Sunspire;;Sunspire;;;;;;;;;x
c_falthrien;Falthrien;Falthrien;Falthrien;;Falthrien;;;;;;;;;x
c_silverisle;Silverisle;Silverisle;Silverisle;;Silverisle;;;;;;;;;x
c_sunwell_plateau;Sunwell Plateau;Sunwell Plateau;Sunwell Plateau;;Sunwell Plateau;;;;;;;;;x
c_magisters_terrace;Magister's Terrace;Magister's Terrace;Magister's Terrace;;Magister's Terrace;;;;;;;;;x
c_suns_reach;Sun's Reach;Sun's Reach;Sun's Reach;;Sun's Reach;;;;;;;;;x
c_silvermoon_city;Silvermoon City;Silvermoon City;Silvermoon City;;Silvermoon City;;;;;;;;;x
c_falconwing;Falconwing;Falconwing;Falconwing;;Falconwing;;;;;;;;;x
c_suns_crossing;Sun's Crossing;Sun's Crossing;Sun's Crossing;;Sun's Crossing;;;;;;;;;x
c_duskwither;Duskwither;Duskwither;Duskwither;;Duskwither;;;;;;;;;x
c_arcanus;Arcanus;Arcanus;Arcanus;;Arcanus;;;;;;;;;x
c_shepherds_gate;Shepherd's Gate;Shepherd's Gate;Shepherd's Gate;;Shepherd's Gate;;;;;;;;;x
c_farstrider_retreat;Farstrider Retreat;Farstrider Retreat;Farstrider Retreat;;Farstrider Retreat;;;;;;;;;x
c_porcelanas;Porcelanas;Porcelanas;Porcelanas;;Porcelanas;;;;;;;;;x
c_glintwater;Glintwater;Glintwater;Glintwater;;Glintwater;;;;;;;;;x
c_tranquil_shore;Tranquil Shore;Tranquil Shore;Tranquil Shore;;Tranquil Shore;;;;;;;;;x
c_fairbreeze;Fairbreeze;Fairbreeze;Fairbreeze;;Fairbreeze;;;;;;;;;x
c_sunsail;Sunsail;Sunsail;Sunsail;;Sunsail;;;;;;;;;x
c_luminvale;Luminvale;Luminvale;Luminvale;;Luminvale;;;;;;;;;x
c_cherrygrove;Cherrygrove;Cherrygrove;Cherrygrove;;Cherrygrove;;;;;;;;;x
c_pallaroth;Pallaroth;Pallaroth;Pallaroth;;Pallaroth;;;;;;;;;x
c_goldenmist;Goldenmist;Goldenmist;Goldenmist;;Goldenmist;;;;;;;;;x
c_falithas;Falithas;Falithas;Falithas;;Falithas;;;;;;;;;x
c_shalandis;Shalandis;Shalandis;Shalandis;;Shalandis;;;;;;;;;x
c_shandor;Shan'dor;Shan'dor;Shan'dor;;Shan'dor;;;;;;;;;x
c_elrendar_falls;Elrendar Falls;Elrendar Falls;Elrendar Falls;;Elrendar Falls;;;;;;;;;x
c_elrendar_crossing;Elrendar Crossing;Elrendar Crossing;Elrendar Crossing;;Elrendar Crossing;;;;;;;;;x
c_andaroth;An'daroth;An'daroth;An'daroth;;An'daroth;;;;;;;;;x
c_tranquillien;Tranquillien;Tranquillien;Tranquillien;;Tranquillien;;;;;;;;;x
c_suncrown;Suncrown;Suncrown;Suncrown;;Suncrown;;;;;;;;;x
c_greenwood;Greenwood;Greenwood;Greenwood;;Greenwood;;;;;;;;;x
c_thalassian_pass;Thalassian Pass;Thalassian Pass;Thalassian Pass;;Thalassian Pass;;;;;;;;;x
c_windspire;Windspire;Windspire;Windspire;;Windspire;;;;;;;;;x
c_windrunner;Windrunner;Windrunner;Windrunner;;Windrunner;;;;;;;;;x
c_underlight;Underlight;Underlight;Underlight;;Underlight;;;;;;;;;x
c_moonwood;Moonwood;Moonwood;Moonwood;;Moonwood;;;;;;;;;x
c_drathir_valley;Drathir Valley;Drathir Valley;Drathir Valley;;Drathir Valley;;;;;;;;;x
c_zebsora;Zeb'Sora;Zeb'Sora;Zeb'Sora;;Zeb'Sora;;;;;;;;;x
c_zebwatha;Zeb'Watha;Zeb'Watha;Zeb'Watha;;Zeb'Watha;;;;;;;;;x
c_torwatha;Tor'Watha;Tor'Watha;Tor'Watha;;Tor'Watha;;;;;;;;;x
c_icemorn_peak;Icemorn Peak;Icemorn Peak;Icemorn Peak;;Icemorn Peak;;;;;;;;;x
c_uta_tek;Uta-Tek;Uta-Tek;Uta-Tek;;Uta-Tek;;;;;;;;;x
c_nalorakk;Nalorakk;Nalorakk;Nalorakk;;Nalorakk;;;;;;;;;x
c_halazzi;Halazzi;Halazzi;Halazzi;;Halazzi;;;;;;;;;x
c_north_abassi;North Abassi;North Abassi;North Abassi;;North Abassi;;;;;;;;;x
c_south_abassi;South Abassi;South Abassi;South Abassi;;South Abassi;;;;;;;;;x
c_maisara_hills;Maisara Hills;Maisara Hills;Maisara Hills;;Maisara Hills;;;;;;;;;x
c_stonespear_shelf;Stonespear Shelf;Stonespear Shelf;Stonespear Shelf;;Stonespear Shelf;;;;;;;;;x
c_hatchet_hills;Hatchet Hills;Hatchet Hills;Hatchet Hills;;Hatchet Hills;;;;;;;;;x
c_zebtela;Zeb'Tela;Zeb'Tela;Zeb'Tela;;Zeb'Tela;;;;;;;;;x
c_zebnowa;Zeb'Nowa;Zeb'Nowa;Zeb'Nowa;;Zeb'Nowa;;;;;;;;;x
c_amani_pass;Amani Pass;Amani Pass;Amani Pass;;Amani Pass;;;;;;;;;x
c_agolgazu;Agol'gazu;Agol'gazu;Agol'gazu;;Agol'gazu;;;;;;;;;x
c_amandazar;Amandazar;Amandazar;Amandazar;;Amandazar;;;;;;;;;x
c_sungraze_peak;Sungraze Peak;Sungraze Peak;Sungraze Peak;;Sungraze Peak;;;;;;;;;x
c_south_elrendar;South Elrendar;South Elrendar;South Elrendar;;South Elrendar;;;;;;;;;x
c_zulmashar;Zul'Mashar;Zul'Mashar;Zul'Mashar;;Zul'Mashar;;;;;;;;;x
c_wathwani;Wathwani;Wathwani;Wathwani;;Wathwani;;;;;;;;;x
c_mazraalor;Mazra'Alor;Mazra'Alor;Mazra'Alor;;Mazra'Alor;;;;;;;;;x
c_myrungo;Myrungo;Myrungo;Myrungo;;Myrungo;;;;;;;;;x
c_tokkalor;Tokk'Alor;Tokk'Alor;Tokk'Alor;;Tokk'Alor;;;;;;;;;x
c_mossers_stride;Mossers Stride;Mossers Stride;Mossers Stride;;Mossers Stride;;;;;;;;;x
c_zebhajum;Zeb'Hajum;Zeb'Hajum;Zeb'Hajum;;Zeb'Hajum;;;;;;;;;x
c_wolfcreek;Wolfcreek;Wolfcreek;Wolfcreek;;Wolfcreek;;;;;;;;;x
c_caer_leurenholde;Caer Leurenholde;Caer Leurenholde;Caer Leurenholde;;Caer Leurenholde;;;;;;;;;x
c_eastwall;Eastwall;Eastwall;Eastwall;;Eastwall;;;;;;;;;x
c_mancaster;Mancaster;Mancaster;Mancaster;;Mancaster;;;;;;;;;x
