#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
human;Human;Human;Human;;Human;;;;;;;;;x
troll;Forest Troll;Forest Troll;Forest Troll;;Forest Troll;;;;;;;;;x
thalassian;Quel'dorei;Quel'dorei;Quel'dorei;;Quel'dorei;;;;;;;;;x
dwarf;Dwarf;Dwarf;Dwarf;;Dwarf;;;;;;;;;x
gnome;Gnome;Gnome;Gnome;;Gnome;;;;;;;;;x
gnomish;Gnomish;Gnomish;Gnomish;;Gnomish;;;;;;;;;x
gilnean;Gilnean;Gilnean;Gilnean;;Gilnean;;;;;;;;;x
alteraci;Alteraci;Alteraci;Alteraci;;Alteraci;;;;;;;;;x
stromic;Stromic;Stromic;Stromic;;Stromic;;;;;;;;;x
dalaranian;Dalaranian;dalaranian;dalaranian;;dalaranian;;;;;;;;;x
tirasian;Tirasian;Tirasian;Tirasian;;Tirasian;;;;;;;;;x
lordaeronian;Lordaeronian;lordaeronian;lordaeronian;;lordaeronian;;;;;;;;;x
amani;Amani;Amani;Amani;;Amani;;;;;;;;;x
vilebranch;Vilebranch;Vilebranch;Vilebranch;;Vilebranch;;;;;;;;;x
witherbark;Witherbark;Witherbark;Witherbark;;Witherbark;;;;;;;;;x
high_elf;High Elven;High Elven;High Elven;;High Elven;;;;;;;;;x
bronzebeard;Bronzebeard;Bronzebeard;Bronzebeard;;Bronzebeard;;;;;;;;;x
wildhammer;Wildhammer;Wildhammer;Wildhammer;;Wildhammer;;;;;;;;;x
