#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_sunstrider;Sunstrider Isle;Sunstrider;Sunstrider;;Sunstrider;;;;;;;;;x
d_queldanas;Quel'Danas;Quel'Danas;Quel'Danas;;Quel'Danas;;;;;;;;;x
d_silvermoon;Silvermoon;Silvermoon;Silvermoon;;Silvermoon;;;;;;;;;x
d_eversong;Eversong;Eversong;Eversong;;Eversong;;;;;;;;;x
d_fairbreeze;Fairbreeze;Fairbreeze;Fairbreeze;;Fairbreeze;;;;;;;;;x
d_elrendar;Elrendar;Elrendar;Elrendar;;Elrendar;;;;;;;;;x
d_andaroth;An'daroth;An'daroth;An'daroth;;An'daroth;;;;;;;;;x
d_tranquillien;Tranquillien;Tranquillien;Tranquillien;;Tranquillien;;;;;;;;;x
d_windrunner;Windrunner;Windrunner;Windrunner;;Windrunner;;;;;;;;;x
d_torwatha;Tor'Watha;Tor'Watha;Tor'Watha;;Tor'Watha;;;;;;;;;x
d_zulaman;Zul'Aman;Zul'Aman;Zul'Aman;;Zul'Aman;;;;;;;;;x
d_shadowpine;Shadowpine;Shadowpine;Shadowpine;;Shadowpine;;;;;;;;;x
d_adrazul;Adrazul;Adrazul;Adrazul;;Adrazul;;;;;;;;;x
d_zulmashar;Zul'Mashar;Zul'Mashar;Zul'Mashar;;Zul'Mashar;;;;;;;;;x
d_dalmashu;Dal'mashu;Dal'mashu;Dal'Mashu;;Dal'Mashu;;;;;;;;;x
d_blackwood;Blackwood;Blackwood;Blackwood;;Blackwood;;;;;;;;;x
d_northdale;Northdale;Northdale;Northdale;;Northdale;;;;;;;;;x
d_agolwatha;Agol'watha;Agol'watha;Agol'watha;;Agol'watha;;;;;;;;;x
d_seradine;Seradine;Seradine;Seradine;;Seradine;;;;;;;;;x
d_zunkree;Zun'kree;Zun'kree;Zun'kree;;Zun'kree;;;;;;;;;x
d_zulnallor;Zul'Nallor;Zul'Nallor;Zul'Nallor;;Zul'Nallor;;;;;;;;;x
d_revancoast;Revancoast;Revancoast;Revancoast;;Revancoast;;;;;;;;;x
d_overlook;Overlook;Overlook;Overlook;;Overlook;;;;;;;;;x
d_hiriwatha;Hiri'watha;Hiri'watha;Hiri'watha;;Hiri'watha;;;;;;;;;x
d_jinthaalor;Jintha'Alor;Jintha'Alor;Jintha'Alor;;Jintha'Alor;;;;;;;;;x
d_shadraalor;Shadra'alor;Shadra'Alor;Shadra'Alor;;Shadra'Alor;;;;;;;;;x
d_withervale;Withervale;Withervale;Withervale;;Withervale;;;;;;;;;x
d_monastic_highlands;Monastic Highlands;Monastic Highlands;Monastic Highlands;;Monastic Highlands;;;;;;;;;x
d_tirisfal_glades;Tirisfal Glades;Tirisfal Glades;Tirisfal Glade;;Tirisfal Glades;;;;;;;;;x
d_kingsknell;Kingsknell;Kingsknell;Kingsknell;;Kingsknell;;;;;;;;;x
d_brightwater;Brightwater;Brightwater;Brightwater;;Brightwater;;;;;;;;;x
d_north_coast;North Coast;North Coast;North Coast;;North Coast;;;;;;;;;x
d_capital;Lordaeron;Lordaeron;Lordaeron;;Lordaeron;;;;;;;;;x
d_west_lordaeron;West Lordaeron;West Lordaeron;West Lordaeron;;West Lordaeron;;;;;;;;;x
d_brill;Brill;Brill;Brill;;Brill;;;;;;;;;x
d_silverpine;Silverpine;Silverpine;Silverpine;;Silverpine;;;;;;;;;x
d_millingland;Millingland;Millingland;Millingland;;Millingland;;;;;;;;;x
d_andorfield;Andorfield;Andorfield;Andorfield;;Andorfield;;;;;;;;;x
d_andorwood;Andorwood;Andorwood;Andorwood;;Andorwood;;;;;;;;;x
d_northridge;Northridge;Northridge;Northridge;;Northridge;;;;;;;;;x
d_redpine_wood;Redpine Wood;Redpine Wood;Redpine Wood;;Redpine Wood;;;;;;;;;x
d_stratholme;Stratholme;Stratholme;Stratholme;;Stratholme;;;;;;;;;x
d_hearthglen;Hearthglen;Hearthglen;Hearthglen;;Hearthglen;;;;;;;;;x
d_kingsforest;Kingsforest;Kingsforest;Kingsforest;;Kingsforest;;;;;;;;;x
d_northpass;Northpass;Northpass;Northpass;;Northpass;;;;;;;;;x
d_thondroril;Thondroril;Thondroril;Thondroril;;Thondroril;;;;;;;;;x
d_marrisvale;Marrisvale;Marrisvale;Marrisvale;;Marrisvale;;;;;;;;;x
d_sorrow_hills;Sorrow Hills;Sorrow Hills;Sorrow Hills;;Sorrow Hills;;;;;;;;;x
d_caer_darrow;Caer Darrow;Caer Darrow;Caer Darrow;;Caer Darrow;;;;;;;;;x
d_darrowland;Darrowland;Darrowland;Darrowland;;Darrowland;;;;;;;;;x
d_crossing;Crossing;Crossing;Crossing;;Crossing;;;;;;;;;x
d_tyrs_hand;Tyr's Hand;Tyr's Hand;Tyr's Hand;;Tyr's Hand;;;;;;;;;x
d_browdale;Browdale;Browdale;Browdale;;Browdale;;;;;;;;;x
d_havenshire;Havenshire;Havenshire;Havenshire;;Havenshire;;;;;;;;;x
d_tyrs_bay;Tyr's Bay;Tyr's Bay;Tyr's Bay;;Tyr's Bay;;;;;;;;;x
d_strom;Strom;Strom;Strom;;Strom;;;;;;;;;x
d_faldir;Faldir;Faldir;Faldir;;Faldir;;;;;;;;;x
d_northfold;Northfold;Northfold;Northfold;;Northfold;;;;;;;;;x
d_southfold;Southfold;Southfold;Southfold;;Southfold;;;;;;;;;x
d_arathor;Arathor;Arathor;Arathor;;Arathor;;;;;;;;;x
d_thalstads_hold;Thalstad's Hold;Thalstad's Hold;Thalstad's Hold;;Thalstad's Hold;;;;;;;;;x
d_esoradin;Esoradin;Esoradin;Esoradin;;Esoradin;;;;;;;;;x
d_alterac;Alterac;Alterac;Alterac;;Alterac;;;;;;;;;x
d_perens_vale;Peren's Vale;Peren's Vale;Peren's Vale;;Peren's Vale;;;;;;;;;x
d_chillwind;Chillwind;Chillwind;Chillwind;;Chillwind;;;;;;;;;x
d_eastdurn;Eastdurn;Eastdurn;Eastdurn;;Eastdurn;;;;;;;;;x
d_corrahn;Corrahn;Corrahn;Corrahn;;Corrahn;;;;;;;;;x
d_thedelta;Southshore;Southshore;Southshore;;Southshore;;;;;;;;;x
d_theuplands;Uplands;Uplands;Uplands;;Uplands;;;;;;;;;x
d_greymane;Greymane;Greymane;Greymane;;Greymane;;;;;;;;;x
d_stormglen;Stormglen;Stormglen;Stormglen;;Stormglen;;;;;;;;;x
d_eaststorm;Eaststorm;Eaststorm;Eaststorm;;Eaststorm;;;;;;;;;x
d_silverlaine;Silverlaine;Silverlaine;Silverlaine;;Silverlaine;;;;;;;;;x
d_duskhaven;Duskhaven;Duskhaven;Duskhaven;;Duskhaven;;;;;;;;;x
d_theheadlands;Headlands;Headlands;Headlands;;Headlands;;;;;;;;;x
