#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Sunspire;Sunspire;Sunspire;;Sunspire;;;;;;;;;x
PROV2;Falthrien;Falthrien;Falthrien;;Falthrien;;;;;;;;;x
PROV3;Silverisle;Silverisle;Silverisle;;Silverisle;;;;;;;;;x
PROV4;Sunwell Plateau;Sunwell Plateau;Sunwell Plateau;;Sunwell Plateau;;;;;;;;;x
PROV5;Magister's Terrace;Magister's Terrace;Magister's Terrace;;Magister's Terrace;;;;;;;;;x
PROV6;Sun's Reach;Sun's Reach;Sun's Reach;;Sun's Reach;;;;;;;;;x
PROV7;Silvermoon City;Silvermoon City;Silvermoon City;;Silvermoon City;;;;;;;;;x
PROV8;Falconwing;Falconwing;Falconwing;;Falconwing;;;;;;;;;x
PROV9;Sun's Crossing;Sun's Crossing;Sun's Crossing;;Sun's Crossing;;;;;;;;;x
PROV10;Duskwither;Duskwither;Duskwither;;Duskwither;;;;;;;;;x
PROV11;Arcanus;Arcanus;Arcanus;;Arcanus;;;;;;;;;x
PROV12;Shepherd's Gate;Shepherd's Gate;Shepherd's Gate;;Shepherd's Gate;;;;;;;;;x
PROV13;Farstrider Retreat;Farstrider Retreat;Farstrider Retreat;;Farstrider Retreat;;;;;;;;;x
PROV14;Porcelanas;Porcelanas;Porcelanas;;Porcelanas;;;;;;;;;x
PROV15;Glintwater;Glintwater;Glintwater;;Glintwater;;;;;;;;;x
PROV16;Tranquil Shore;Tranquil Shore;Tranquil Shore;;Tranquil Shore;;;;;;;;;x
PROV17;Fairbreeze;Fairbreeze;Fairbreeze;;Fairbreeze;;;;;;;;;x
PROV18;Sunsail;Sunsail;Sunsail;;Sunsail;;;;;;;;;x
PROV19;Luminvale;Luminvale;Luminvale;;Luminvale;;;;;;;;;x
PROV20;Cherrygrove;Cherrygrove;Cherrygrove;;Cherrygrove;;;;;;;;;x
PROV21;Pallaroth;Pallaroth;Pallaroth;;Pallaroth;;;;;;;;;x
PROV22;Goldenmist;Goldenmist;Goldenmist;;Goldenmist;;;;;;;;;x
PROV23;Falithas;Falithas;Falithas;;Falithas;;;;;;;;;x
PROV24;Shalandis;Shalandis;Shalandis;;Shalandis;;;;;;;;;x
PROV25;Shan'dor;Shan'dor;Shan'dor;;Shan'dor;;;;;;;;;x
PROV26;Elrendar Falls;Elrendar Falls;Elrendar Falls;;Elrendar Falls;;;;;;;;;x
PROV27;Elrendar Crossing;Elrendar Crossing;Elrendar Crossing;;Elrendar Crossing;;;;;;;;;x
PROV28;An'daroth;An'daroth;An'daroth;;An'daroth;;;;;;;;;x
PROV29;Tranquillien;Tranquillien;Tranquillien;;Tranquillien;;;;;;;;;x
PROV30;Suncrown;Suncrown;Suncrown;;Suncrown;;;;;;;;;x
PROV31;Greenwood;Greenwood;Greenwood;;Greenwood;;;;;;;;;x
PROV32;Thalassian Pass;Thalassian Pass;Thalassian Pass;;Thalassian Pass;;;;;;;;;x
